"usecase_code","usecase_name","usecase_longname"
"USC007","ET-HighMix-Gvt ETH","Use Case 1.3: Gvt Ethiopia - landscape specific soil fertility enhancement."
"USC020","TNC CHEFs","The Nature Conservancy - Central Highlands Ecoregion Foodscape (CHEF)"
"USC011","SA-RiceWheat-Bihar","Use Case 1.7: Bihar State Gvt -  managing time of planting for wheat-rice systems"
"USC017","MO-Wheat-Gvt","Use Case 2.8: Gvt Morocco - mechanized conservation agriculture at scale in rainfed wheat systems"
"USC005","LatAm-AgroTutor","Use Case 1.10: LatAm -  targeted smart agronomic recommendations for maize, wheat, potatoes and beans"
"USC004","EG-Irrigated-Gvt","Use Case 1.9: Gvt Egypt -  yield gap monitoring and tailored agronomy advisory for irrigated wheat and faba bean."
"USC001","WA-Rice-ATAFI/MOVE","Use Case 1.1: WA-Rice-ATAFI/GIZ MOVE - Integration of simplified RiceAdvice, climate-smart practices based on Sustainable Rice Platform (SRP) tools and WeedManager to improve rice productivity and sustainability."
"USC012","SEA-DSRC-Cambodia","Use Case 1.8: mDSRC (Cambodia) optimizing mechanized rice direct seeding and agronomy advisory"
"USC009","GH-CerLeg-GAIP","Use Case 1.6: GAIP - bundled crop advisories with insurance, inputs and market access"
"USC008","NG-Akilimo-SAA","Use Case 1.5: SAA - fertilizer investment prioritization for maize, cassava and rice"
"USC010","GH-CerLeg-Esoko","Use Case 2.2 : Esoko -  disseminating agronomy content for soybean- maize systems"
"USC014","WCA-Cocoa-Rainforest","Use Case 2.3: Rainforest Alliance - climate responsive  agronomic advisories in cocoa systems​"
"USC015","CA-HighMix-OLAM","Use Case 2.5: OLAM - context specific integrated soil fertility management in coffee systems"
"USC003","WCA-Cocoa-CocoaSoils","Use Case 2.1: CocoaSoils -  best management practices and  integrated soil fertility management in cocoa systems​"
"USC013","NG-Akilimo-MC Sprout","Use Case 2.9: MercyCorps AgriFin -  multi-crop agronomic content dissemination"
"USC016","CH-CerLeg-Solidaridad","Use Case 2.6: Solidaridad - time of planting, variety choice and soil fertile management in soybean systems"
"USC018","SEA-DSRC-Vietnam","Use Case 2.7: mDSRC (Vietnam) optimizing mechanized rice direct seeding and agronomy advisory."
"USC002","CA-HighMix-SNS/RAB","Use Case 1.2: SNS/RAB - optimized soil fertility enhancement in priority crops."
"USC019","FtMA Acid Soils","To be Determined"
"USC006","ET-HighMix-NextGen","Use Case 1.4: NextGen -Location, context, and season-specific agroadvisory decision support tool"
